要件ID,仕様書参照,対象機能,対象画面,対象ロール,事前条件,操作,期待結果,実装箇所,テストID,検証方法,検証証拠,結果,不具合ID,備考
A-001,§0,リポジトリ構成,-,-,-,GitHubリポジトリを確認,`https://github.com/kotakase2022-jpg/airis` に新規構築されている（既存コードへの追加ではない）,C:/Users/hiras/Documents/test/airis/.git,,PROCESS,"git remote -v → origin=https://github.com/kotakase2022-jpg/airis.git。git log は 042b756「feat: scaffold, auth/RBAC foundation, schema, seed」を起点とする本プロジェクト専用の7コミットのみ（全て2026-08-05）で、既存コードへの追加ではなく新規構築。",PASS,,
A-002,§0,リポジトリ構成,-,-,-,リポジトリ直下を確認,本指示書が `docs/SPEC.md` としてコミットされ、一次仕様として扱われている,C:/Users/hiras/Documents/test/airis/docs/SPEC.md,,PROCESS,docs/SPEC.md がコミット済み（git show HEAD:docs/SPEC.md）で、CODEX_INSTRUCTIONS.md と diff 完全一致（exit 0、双方571行）。README.md:4 が「仕様書は docs/SPEC.md（…一次ソース）」と一次仕様扱いを明記。docs/materials/ は無いが notes の通り任意。,PASS,,参考資料がある場合は docs/materials/ 参照可（無くても実装可能）
A-003,§0 / §12,開発進行,-,-,-,PR履歴を確認,マイルストーンM0から順に実装され（飛ばさない）、各マイルストーン完了時のPR説明に動作確認手順・テスト結果が記載されている,C:/Users/hiras/Documents/test/airis (git history),,PROCESS,"`gh pr list --state all --limit 30 --json number,title,mergedAt` → `[]`（PR 0件）。`git log --merges` → 0件。全13コミットが main へ直push。マイルストーン単位になっておらず、042b756 ""feat: scaffold, auth/RBAC foundation, schema, seed"" の次が 21b4937 ""feat: all 11 screens (accounts, sales staff, field agents, reports, agencies, admin, cases, announcements, documents) + dashboard + rich seed"" で M1〜M7 相当を一括実装。",FAIL,,"各コミットのbodyには動作確認・テスト結果の記載あり（例 8bc593c「Tests: default config 322 passed / 2 skipped, proxy config 9 passed / 1 skipped, unit 216 passed, lint 0, tsc 0」）が、PR自体が1件も存在しないため「各マイルストーン完了時のPR説明」という要件は満たさない。M0のDoD（ESLint/Prettier + AGENTS.md）も未達（A-004/A-031参照）。"
A-004,§0,開発進行,-,-,M0完了,AGENTS.md を確認,AGENTS.md がM0で作成され、技術スタック・コマンド（dev/test/lint/migrate/seed）・コーディング規約・本書（docs/SPEC.md）への参照が記載されている,C:/Users/hiras/Documents/test/airis/AGENTS.md,,PROCESS,AGENTS.md の全内容は `next dev` が自動生成・再追記する `<!-- BEGIN:nextjs-agent-rules -->` 〜 `<!-- END:nextjs-agent-rules -->` ブロックのみ（実質8行、Next.jsのドキュメント参照指示）。技術スタック・コマンド（dev/test/lint/migrate/seed）・コーディング規約・docs/SPEC.md への参照はいずれも記載なし。CLAUDE.md は `@AGENTS.md` の1行のみ。,FAIL,,M0成果物として要求された内容がゼロ。同等の情報は README.md に一部あるが AGENTS.md ではない。
A-005,§0,UI言語,全画面,全ロール,ログイン済み,各画面のラベル・ステータス名・メッセージを確認,すべて日本語で表示され、ラベル・ステータス名（例:「承認待ち」「登録済み」「仮登録」「本登録」）が本書の表記と一字一句同一である（揺れた表記が無い）,C:/Users/hiras/Documents/test/airis/src/lib/roles.ts:104-149（ACCOUNT_STATUS_LABELS / STAFF_STATUS_LABELS / REQUEST_STATUS_LABELS / SUBMISSION_STATUS_LABELS / CASE_STATUSES）,"e2e/02-nav-permissions.spec.ts, e2e/21-error-feedback.spec.ts",E2E,localhost:3100 に①セッションでアクセスし全画面のラベルを実測（curl）。/dashboard=仮登録4/停止中2/削除済2/問題発生2/対応中2/差戻し2/承認待ち4/最終承認済み2/未対応2/未提出2/本登録2/申請中4/登録済み2、/admin=削除済/承認待ち/登録済み、/sales-staff=仮登録/停止中/削除済/本登録/申請中、/hotline・/consumer-center=未対応/確認中/対応中/問題発生/完了、/account-requests=差戻し/承認待ち/登録済み。§4.1が明示的に禁じる揺れ表記「承認中」は全11画面で出現0件。§7.8の通知チャネルバッジ行も `Airis内通知: 記録済み` / `Slack: 未設定` / `メール: 未設定` と仕様の文字列どおり（src/components/cases/snc-case-list.tsx:122-131）。サイドメニュー12項目（§11.1の11項目＋代理店向け統合ビュー「窓口案件」）も仕様表記どおり。,PASS,,コード側のラベル定義はすべて §4.1 / §7.2 / §7.6 / §7.8 の表記と一致（承認前=承認待ち / 本登録=登録済み / 停止中=停止 / 削除済、申請中・仮登録・本登録・停止中・削除済、未提出・1次店確認中・SNC確認中・最終承認済み・差戻し、未対応・確認中・対応中・問題発生・完了）。
A-006,§0,対象ブラウザ,全画面,全ロール,-,Chrome/Edge最新版およびスマホ幅で表示,PCブラウザ（Chrome/Edge最新）で全画面が動作する。スマホ最適化されるのは日報提出画面（稼働日報タブ）のみで、他画面はPC前提でよい,,e2e/07-reports-daily.spec.ts:モバイルビュー（375x812）> R9: スマホビューで日報フォームが操作可能; e2e-prod/prod-smoke.spec.ts:本番: 各ロール ログイン→ダッシュボード→メニュー構成,E2E,Playwright既定chromiumで全201テストPASS。日報のみ375x812で入力→保存→DB検証を実施,PASS,,§14-1で確定済み。日報のスマホ最適化詳細は§7.5担当の要件と重複確認のこと / Edgeは同一Chromiumエンジンだが実測なし。他画面のスマホ最適化は仕様どおり非対応
A-007,§0,仕様優先順位,-,-,-,仕様矛盾時の実装判断を確認,要件（§4〜§9）＞セキュリティ要件（§10）＞UI参考（§11）の優先順で実装されており、プロトタイプUIの細部（アップロード上限260KB等）は仕様として採用されていない,C:/Users/hiras/Documents/test/airis/src/lib/roles.ts,,PROCESS,"プロトタイプ細部の260KB上限は不採用（src配下に『260』の該当無し。アップロード上限は src/lib/util.ts:81 等で4MB）。権限は§5マトリクスを唯一の正として src/lib/roles.ts の MENU/canAccess に実装（§14-11の解決も sales-staff/actions.ts:20 MANAGE_ROLES=R1,R2,R3,R7 で反映）。§11はUI指針として使用（メニュー11項目 roles.ts:53-73）。",PASS,,
A-008,§1,アカウント管理（概要）,-,-,-,機能の存在確認,Airisアカウント・販売員ID・訪販員の3系統について申請・承認・管理機能が存在する,,e2e/03-account-requests.spec.ts:承認フロー（§6.1）; e2e/05-sales-staff.spec.ts:承認フロー; e2e/06-field-agents.spec.ts:t05 承認フロー,E2E,Airisアカウント/販売員ID/訪販員の3系統すべてに申請・承認・管理画面が存在しE2Eで通しフローがPASS,PASS,,詳細は§4/§6/§7.2〜7.4（別担当）
A-009,§1,稼働日報（概要）,各種資料の提出,-,-,機能の存在確認,稼働日報（訪販・テレマの2タイプ）の提出と集計機能が存在する,,e2e/07-reports-daily.spec.ts:R9: 訪販日報の保存→DB検証→同日再提出で上書き; e2e/07-reports-daily.spec.ts:R9: テレマ日報の保存→DB検証; e2e/07-reports-daily.spec.ts:R9: 集計・実績確認タブ KPIカード6枚,E2E,訪販・テレマ2タイプの提出と集計タブがE2EでPASS,PASS,,詳細は§7.5（別担当）
A-010,§1,稼働提出物（概要）,各種資料の提出,-,-,機能の存在確認,6種の申請書フォーマットの提出・承認・提出状況管理機能が存在する,,e2e/08-reports-submissions.spec.ts:テンプレDLボタン6個が表示され /templates/template1..6.xlsx が200で返る; e2e/08-reports-submissions.spec.ts:R8提出→pending_first→R7一次承認→pending_snc→R2最終承認→approved; e2e/08-reports-submissions.spec.ts:提出状況テーブル: 対象月の「n / 6」バッジ,E2E,,PASS,,詳細は§7.6（別担当）
